scenario,n,method,bandwidth_multiplier,coordinate,coordinate_name,replications,bias,bias_mcse,rmse,empirical_sd,mean_estimated_se,median_estimated_se,se_to_empirical_sd,coverage_95,coverage_mcse,mean_interval_width_95,minimum_curvature_eigenvalue,mean_fit_seconds,mean_boundary_shrinkage_factor,stabilization_frequency,median_minimum_kernel_support,selected_admissible_rate
nt_p10_moderate_balanced,1000,corrected_raw,0.75,95.0,component_2_student_t_coordinate_29,160.0,-0.003911845829486121,0.004224519633977549,0.05341260669274299,0.05343641625387965,0.06342402651432126,0.0518646286929849,1.186906438728785,0.9375,0.019136638615493577,0.24862218393613947,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,96.0,component_2_student_t_coordinate_30,160.0,-0.004171430609828546,0.0033192377285928927,0.0420613569688376,0.04198540527166935,0.04782757762206438,0.03853536317825985,1.1391476945998942,0.95,0.017230060940112785,0.18748410427849255,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,97.0,component_2_student_t_coordinate_31,160.0,-0.008445682523296891,0.0040609935975484245,0.051898987698968044,0.05136795732645682,0.0673715771275294,0.052235159115367705,1.3115486897671518,0.9625,0.01501951855087239,0.26409658233991545,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,98.0,component_2_student_t_coordinate_32,160.0,0.0020013365172485984,0.0046007618318891835,0.05804790993502172,0.05819554544295407,0.06556400718679552,0.05210823262432955,1.1266155628881311,0.925,0.020822914061197097,0.25701090817223854,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,99.0,component_2_student_t_coordinate_33,160.0,-0.0018167682693200256,0.004734326109142918,0.05972521909939409,0.05988501476357814,0.07307199357534251,0.05198340614230985,1.2202049855681867,0.9125,0.022338832500826897,0.2864422148153428,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,100.0,component_2_student_t_coordinate_34,160.0,0.0006695378114384122,0.004378283282206778,0.0552121113186398,0.055381389652844726,0.06086665145716308,0.0517258132142978,1.0990452178737735,0.9375,0.019136638615493577,0.23859727371207945,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,101.0,component_2_student_t_coordinate_35,160.0,0.0023635338505879457,0.004462333107575763,0.056317497792200896,0.05644454519326631,0.0641178896408539,0.05195381342387555,1.1359448361451763,0.9625,0.01501951855087239,0.25134212739214745,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,102.0,component_2_student_t_coordinate_36,160.0,-0.0026198991490785314,0.0037533211878678936,0.04740003841664788,0.047476174975325185,0.060497765395320466,0.05152796435411155,1.274276317052985,0.96875,0.013755325673171101,0.23715124034965634,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,103.0,component_2_student_t_coordinate_37,160.0,-0.013181675773332516,0.003245901130029315,0.042999541455641055,0.041057762522427994,0.05075359472519464,0.03887399554755565,1.2361510127949678,0.9375,0.019136638615493577,0.19895409132276315,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,104.0,component_2_student_t_coordinate_38,160.0,-0.003782352331917612,0.004558485771203302,0.057604628293554096,0.05766079087388653,0.07567626923296586,0.052226469902820705,1.3124389743193445,0.9375,0.019136638615493577,0.2966509753932264,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
nt_p10_moderate_balanced,1000,corrected_raw,0.75,105.0,component_2_student_t_coordinate_39,160.0,-0.004722137469456765,0.0044771137614691104,0.056651404712937586,0.05663150731970478,0.07234059304917317,0.0511020197300028,1.2773912698594632,0.9375,0.019136638615493577,0.283575124752759,0.0013558670636695,5.33266155988058,1.0,0.0,2.0,1.0
