scenario,n,replication,status,method,bandwidth_multiplier,coordinate,coordinate_name,estimate,target,target_mcse,error,squared_error,estimated_se,coverage_95,interval_width_95,curvature_min_eigenvalue,fit_seconds,fit_initialization,fit_classification_objective,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight,minimum_kernel_support,bandwidth_diagnostics,boundary_shrinkage_factor,raw_generalized_boundary_eigenvalue,error_message
ntsn_p2_moderate_balanced,4000,210,fit_or_naive_failed,fit,,,,,,,,,,,,,35.127693047048524,,,,,,,,,,,,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00174319.
ntsn_p2_moderate_balanced,4000,213,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,43.32282622298226,gmm,-3.8690323701136458,2.0788254873060907e-05,12.0,12.0,True,0.303,,,1.0,1.2577853903599374,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00369507.
ntsn_p2_moderate_balanced,4000,268,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,35.65611653006636,kmeans,-3.875638369684671,0.0,12.0,12.0,True,0.3035,,,1.0,1.969022278267276,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0259605.
ntsn_p2_moderate_balanced,4000,268,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,35.65611653006636,kmeans,-3.875638369684671,0.0,12.0,12.0,True,0.3035,,,1.0,1.9337263528259412,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0255506.
ntsn_p2_moderate_balanced,4000,277,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,38.54396599391475,kmeans,-3.869665696965262,0.0048876849942947,10.0,12.0,True,0.30575,,,1.0,1.0564910244085093,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000852614.
ntsn_p2_moderate_balanced,4000,306,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,32.54272457305342,gmm,-3.8662658228618256,0.0,12.0,12.0,True,0.29775,,,1.0,6.4318128439199445,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00175952.
ntsn_p2_moderate_balanced,4000,306,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,32.54272457305342,gmm,-3.8662658228618256,0.0,12.0,12.0,True,0.29775,,,1.0,5.039933744761907,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00109464.
ntsn_p2_moderate_balanced,4000,306,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,32.54272457305342,gmm,-3.8662658228618256,0.0,12.0,12.0,True,0.29775,,,1.0,3.870977674544359,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000679565.
ntsn_p2_moderate_balanced,4000,310,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,37.00713941804133,kmeans,-3.870495240860164,0.0022153855814739,8.0,12.0,True,0.298,,,1.0,1.098042059076145,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.000933815.
ntsn_p2_moderate_balanced,4000,322,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,33.64394195796922,kmeans,-3.885687580979127,0.002540680874191,12.0,12.0,True,0.305,,,1.0,1.1789684476976243,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00122311.
